Item,Size,Serving(g),Calories,Fats(g),Carbohydrates(g),Proteins(g)
apple,1 large,223,116,0.4,31,0.6
banana,1 medium,100,89,0.3,23,1.1
lemon,1 medium,58,17,0.2,5,0.6
orange,1 medium,131,62,0.2,15,1.2
strawberry,1 large,18,6,0.1,1.4,0.1
carrot,1 medium,61,25,0.1,6,0.6
cauliflower,1 head medium,588,146,1.6,29,11
cucumber,1/3 medium,100,16,0.1,3.6,0.7
potato,1 medium,213,163,0.2,37,4.3
tomato,1 medium,123,22,0.2,4.8,1.1
fries,1 medium,117,365,17,48,4
sandwich,1 egg and cheese,146,340,19,26,16
milk,1 cup,244,103,2.4,12,8
coffee,1 cup,250,107,1,1,1
pizza,1 slice,63,168,6.1,20.4,7.6
